ServerName,FieldName,CurrentValue,ProposedValue
ah57ndcla04206,Supportgroup,,MMIS DynaTrace SW ADMIN
ah57ndcla20002,System,,AGM
ah57ndcla20002,Purpose,,AGM Application Server - OS patching can restart without app admin assistance
ah57ndcla20002,Supportgroup,,ALM SW ADMIN
ah57ndcla90013,Purpose,,NetBackup
ah57ndcla90014,Purpose,,NetBackup
ah57ndcla90015,Purpose,,NetBackup
ah57ndclb03003,System,,Edifecs
ah57ndclb03003,Purpose,,Oracle DB
ah57ndclb03003,Supportgroup,,MMIS Support INF DBA
ah57ndclc00002,System,,ATP
ah57ndclc00002,Purpose,,Oracle RAC Node - Uses IPTables
ah57ndclc00002,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndclc00007,System,,Shared RAC
ah57ndclc00007,Purpose,,Oracle RAC Node
ah57ndclc00007,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndclc00008,System,,Shared RAC
ah57ndclc00008,Purpose,,Oracle RAC Node
ah57ndclc00008,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndclc00010,System,,Shared RAC
ah57ndclc00010,Purpose,,Oracle RAC Node
ah57ndclc00010,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndclc00011,System,,Shared RAC
ah57ndclc00011,Purpose,,Oracle RAC Node
ah57ndclc00011,Supportgroup,,ORACLE DB ADMIN DXC
ah57ndclc03005,System,,Oracle RAC - Sandbox
ah57ndclc03005,Purpose,,Oracle Database - RAC - Sandbox DR Node 1
ah57ndclc03005,Supportgroup,,MMIS Support INF DBA
ah57ndclc03006,System,,Oracle RAC - Sandbox
ah57ndclc03006,Purpose,,Oracle Database - RAC - Sandbox DR Node 2
ah57ndclc03006,Supportgroup,,MMIS Support INF DBA
ah57ndclc03007,System,,Oracle RAC
ah57ndclc03007,Purpose,,Oracle Database - RAC - DR Node 1
ah57ndclc03007,Supportgroup,,MMIS Support INF DBA
ah57ndclc03008,System,,Oracle RAC
ah57ndclc03008,Purpose,,Oracle Database - RAC - DR Node 2
ah57ndclc03008,Supportgroup,,MMIS Support INF DBA
ah57ndclc04003,System,,Oracle RAC
ah57ndclc04003,Purpose,,Oracle Database - RAC - DR Node 1
ah57ndclc04003,Supportgroup,,MMIS Support INF DBA
ah57ndclc04004,System,,Oracle RAC
ah57ndclc04004,Purpose,,Oracle Database - RAC - DR Node 2
ah57ndclc04004,Supportgroup,,MMIS Support INF DBA
ah57ndcli00003,System,,SOA
ah57ndcli00003,Purpose,,Datapower
ah57ndcli00003,Supportgroup,,ENTERPRISE SOA SW ADMIN
ah57ndcli00004,System,,SOA DEV
ah57ndcli00004,Purpose,,Datapower Proxy
ah57ndcli00004,Supportgroup,,MMIS Support SOA - SOA
ah57ndcli00006,System,,SOA
ah57ndcli00006,Purpose,,Datapower
ah57ndcli00006,Supportgroup,,ENTERPRISE SOA SW ADMIN
ah57ndclm00001,System,,Syslog
ah57ndclm00001,Purpose,,Syslog - OS patching can restart without app admin assistance
ah57ndclm00001,Supportgroup,,ATP SW ADMIN
ah57ndclw00096,System,,SOA Production-DR
ah57ndclw00096,Purpose,,SOA Web Server
ah57ndclw00096,Supportgroup,,MMIS Support SOA - SOA
ah57ndclw00097,System,,SOA Production-DR
ah57ndclw00097,Purpose,,SOA Web Server
ah57ndclw00097,Supportgroup,,MMIS Support SOA - SOA
ah57ndclw00098,System,,SOA Stage
ah57ndclw00098,Purpose,,SOA Web Server
ah57ndclw00098,Supportgroup,,MMIS Support SOA - SOA
ah57ndclw00099,System,,SOA Stage
ah57ndclw00099,Purpose,,SOA Web Server
ah57ndclw00099,Supportgroup,,MMIS Support SOA - SOA
ah57ndclw00111,System,,SOA Production-DR (RHEL8)
ah57ndclw00111,Purpose,,TMED Web Server
ah57ndclw00111,Supportgroup,,MMIS Support SOA - SOA
ah57ndclw00112,System,,SOA Production-DR (RHEL8)
